eiendom,adresse,bydel,eier,bruksnavn,areal,kommune
0301-49/10/0/0,,,Eiendoms- og byfornyelsesetaten,Flere teiger,1781.1,
0301-49/23/0/0,,,Eiendoms- og byfornyelsesetaten,,1310.2,
0301-49/28/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,1994.5,
0301-49/3/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-49/38/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,5775.7,
0301-49/41/0/0,,,Oslobygg KF,Fellesareal/parkering,1490.1,
0301-49/42/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn,5433.3,
0301-5/145/0/0,,,Eiendoms- og byfornyelsesetaten,Veigrunn Hoffsbakken,316.5,
0301-5/149/0/0,,,Eiendoms- og byfornyelsesetaten,,410.4,
0301-5/83/0/0,,,Eiendoms- og byfornyelsesetaten,Veigrunn dr'vn,3112.0,
0301-5/85/0/0,,,Eiendoms- og byfornyelsesetaten,Veigrunn dr'vn,22136.2,
0301-50/10/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-50/11/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-50/12/0/0,,,Eiendoms- og byfornyelsesetaten,,,
0301-50/15/0/0,,,Eiendoms- og byfornyelsesetaten,,825.1,
0301-50/2/0/0,,,Eiendoms- og byfornyelsesetaten,Sogn skog,1719825.2,
0301-50/233/0/0,,,Eiendoms- og byfornyelsesetaten,Veigrunn kaj munks vei.,,
0301-50/288/0/0,,,Eiendoms- og byfornyelsesetaten,,424.2,
0301-50/3/0/0,,,Eiendoms- og byfornyelsesetaten,Nordre Sandås,85053.2,
0301-50/358/0/0,,,Eiendoms- og byfornyelsesetaten,,28.8,
0301-50/380/0/0,,,Eiendoms- og byfornyelsesetaten,,1793.9,
0301-50/486/0/0,,,Eiendoms- og byfornyelsesetaten,,371.8,
0301-50/490/0/0,,,Eiendoms- og byfornyelsesetaten,,204.2,
0301-50/5/0/0,Folke Bernadottes vei 21,Nordre Aker,Eiendoms- og byfornyelsesetaten,Søndre Sandås,127565.1,
0301-50/6/0/0,,,Eiendoms- og byfornyelsesetaten,,25870.7,
0301-50/8/0/0,,,Eiendoms- og byfornyelsesetaten,,4358450.6,
0301-50/81/0/0,,,Eiendoms- og byfornyelsesetaten,Ikke tinglyst veigrunn (se merknad),18955.9,
